,condName,__name__,MooringFile,SeaStFile|WaveHs,SeaStFile|WaveTp,SeaStFile|WaveDir,SeaStFile|WaveSeed(1),InflowFile|PropagationDir,InflowFile|FileName_BTS,InflowFile|RotorApexOffsetPos,EDFile|NacYaw,EDFile|RotSpeed,EDFile|PtfmSurge,EDFile|BlPitch(1),EDFile|BlPitch(2),EDFile|BlPitch(3),ServoFile|PCMode,HydroFile|DiffQTF,windSpeed,windShear
0,1,Run_P200_C142_L1430_clump40_1_S1,"""Moordyn_P200_C142_L1430_clump40_1.dat""",1.93014,7.44086,-74.359,646878461,94.39,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_1_seed1.bts""",0 0 0,-94.39,,,,,,,0.0,9.95740910330378,0.14
1,2,Run_P200_C142_L1430_clump40_2_S1,"""Moordyn_P200_C142_L1430_clump40_2.dat""",2.86339,8.92557,-73.178,30853856,95.816,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_2_seed1.bts""",0 0 0,-95.816,,,,,,,0.0,12.75420807197407,0.14
2,3,Run_P200_C142_L1430_clump40_3_S1,"""Moordyn_P200_C142_L1430_clump40_3.dat""",1.48861,7.81407,-52.166,281862847,94.287,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_3_seed1.bts""",0 0 0,-94.287,,,,,,,0.0,8.261826604267672,0.14
3,4,Run_P200_C142_L1430_clump40_4_S1,"""Moordyn_P200_C142_L1430_clump40_4.dat""",2.44239,11.2402,-35.182,527656496,92.366,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_4_seed1.bts""",0 0 0,-92.366,,,,,,,0.0,11.71264148879738,0.14
4,5,Run_P200_C142_L1430_clump40_5_S1,"""Moordyn_P200_C142_L1430_clump40_5.dat""",2.00784,13.0567,-27.033,-2068401726,101.13,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_5_seed1.bts""",0 0 0,-101.13,,,,,,,0.0,5.835128778446234,0.14
5,6,Run_P200_C142_L1430_clump40_6_S1,"""Moordyn_P200_C142_L1430_clump40_6.dat""",2.46889,11.5244,-59.19,-1954993250,96.901,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_6_seed1.bts""",0 0 0,-96.901,,,,,,,0.0,6.837154812397419,0.14
6,7,Run_P200_C142_L1430_clump40_7_S1,"""Moordyn_P200_C142_L1430_clump40_7.dat""",1.44362,8.43307,-64.634,-169696893,91.408,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_7_seed1.bts""",0 0 0,-91.408,,,,,,,0.0,3.958642182555308,0.14
7,8,Run_P200_C142_L1430_clump40_8_S1,"""Moordyn_P200_C142_L1430_clump40_8.dat""",1.72633,11.2183,-31.644,-1358604110,80.028,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_8_seed1.bts""",0 0 0,-80.028,,,,,,,0.0,3.842317949946895,0.14
8,9,Run_P200_C142_L1430_clump40_9_S1,"""Moordyn_P200_C142_L1430_clump40_9.dat""",1.28708,9.4058,-24.024,259666803,96.371,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_9_seed1.bts""",0 0 0,-96.371,,,,,,,0.0,6.529929461455389,0.14
9,10,Run_P200_C142_L1430_clump40_10_S1,"""Moordyn_P200_C142_L1430_clump40_10.dat""",3.52561,8.93552,-71.98,1038737215,91.312,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_10_seed1.bts""",0 0 0,-91.312,,,,,,,0.0,19.14416600993886,0.14
