,condName,__name__,MooringFile,SeaStFile|WaveHs,SeaStFile|WaveTp,SeaStFile|WaveDir,SeaStFile|WaveSeed(1),InflowFile|PropagationDir,InflowFile|FileName_BTS,InflowFile|RotorApexOffsetPos,EDFile|NacYaw,EDFile|RotSpeed,EDFile|PtfmSurge,EDFile|BlPitch(1),EDFile|BlPitch(2),EDFile|BlPitch(3),ServoFile|PCMode,HydroFile|DiffQTF,windSpeed,windShear
0,1,Run_P200_C142_L1430_clump40_1_S1,"""Moordyn_P200_C142_L1430_clump40_1.dat""",1.93014,7.44086,-4.359,-1521838957,24.39,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_1_seed1.bts""",0 0 0,-24.39,,,,,,,0.0,9.95740910330378,0.14
1,2,Run_P200_C142_L1430_clump40_2_S1,"""Moordyn_P200_C142_L1430_clump40_2.dat""",2.86339,8.92557,-3.178,1163007584,25.816,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_2_seed1.bts""",0 0 0,-25.816,,,,,,,0.0,12.75420807197407,0.14
2,3,Run_P200_C142_L1430_clump40_3_S1,"""Moordyn_P200_C142_L1430_clump40_3.dat""",1.48861,7.81407,17.834,882672604,24.287,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_3_seed1.bts""",0 0 0,-24.287,,,,,,,0.0,8.261826604267672,0.14
3,4,Run_P200_C142_L1430_clump40_4_S1,"""Moordyn_P200_C142_L1430_clump40_4.dat""",2.44239,11.2402,34.818,996256205,22.366,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_4_seed1.bts""",0 0 0,-22.366,,,,,,,0.0,11.71264148879738,0.14
4,5,Run_P200_C142_L1430_clump40_5_S1,"""Moordyn_P200_C142_L1430_clump40_5.dat""",2.00784,13.0567,42.967,1288578060,31.13,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_5_seed1.bts""",0 0 0,-31.13,,,,,,,0.0,5.835128778446234,0.14
5,6,Run_P200_C142_L1430_clump40_6_S1,"""Moordyn_P200_C142_L1430_clump40_6.dat""",2.46889,11.5244,10.81,141310512,26.901,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_6_seed1.bts""",0 0 0,-26.901,,,,,,,0.0,6.837154812397419,0.14
6,7,Run_P200_C142_L1430_clump40_7_S1,"""Moordyn_P200_C142_L1430_clump40_7.dat""",1.44362,8.43307,5.366,-189211001,21.408,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_7_seed1.bts""",0 0 0,-21.408,,,,,,,0.0,3.958642182555308,0.14
7,8,Run_P200_C142_L1430_clump40_8_S1,"""Moordyn_P200_C142_L1430_clump40_8.dat""",1.72633,11.2183,38.356,1920185420,10.028,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_8_seed1.bts""",0 0 0,-10.028,,,,,,,0.0,3.842317949946895,0.14
8,9,Run_P200_C142_L1430_clump40_9_S1,"""Moordyn_P200_C142_L1430_clump40_9.dat""",1.28708,9.4058,45.976,-707163026,26.371,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_9_seed1.bts""",0 0 0,-26.371,,,,,,,0.0,6.529929461455389,0.14
9,10,Run_P200_C142_L1430_clump40_10_S1,"""Moordyn_P200_C142_L1430_clump40_10.dat""",3.52561,8.93552,-1.98,-1381000505,21.312,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_10_seed1.bts""",0 0 0,-21.312,,,,,,,0.0,19.14416600993886,0.14
10,11,Run_P200_C142_L1430_clump40_11_S1,"""Moordyn_P200_C142_L1430_clump40_11.dat""",1.53413,10.4771,31.535,-657110870,44.9163,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_11_seed1.bts""",0 0 0,-44.9163,,,,,,,0.0,3.567299647026803,0.14
11,12,Run_P200_C142_L1430_clump40_12_S1,"""Moordyn_P200_C142_L1430_clump40_12.dat""",3.82171,14.1382,36.151,542547318,27.621,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_12_seed1.bts""",0 0 0,-27.621,,,,,,,0.0,5.91894280495266,0.14
12,13,Run_P200_C142_L1430_clump40_13_S1,"""Moordyn_P200_C142_L1430_clump40_13.dat""",1.82274,7.89602,-22.844,-1241958529,27.124,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_13_seed1.bts""",0 0 0,-27.124,,,,,,,0.0,6.652661817411709,0.14
13,14,Run_P200_C142_L1430_clump40_14_S1,"""Moordyn_P200_C142_L1430_clump40_14.dat""",1.51646,8.71742,6.316,1958937351,-114.877,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_14_seed1.bts""",0 0 0,114.877,,,,,,,0.0,3.313781901247378,0.14
14,15,Run_P200_C142_L1430_clump40_15_S1,"""Moordyn_P200_C142_L1430_clump40_15.dat""",1.82591,11.3741,29.64,237939754,-151.892,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_15_seed1.bts""",0 0 0,151.892,,,,,,,0.0,3.211466956720348,0.14
15,16,Run_P200_C142_L1430_clump40_16_S1,"""Moordyn_P200_C142_L1430_clump40_16.dat""",3.91648,12.6226,0.719,1365877752,23.785,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_16_seed1.bts""",0 0 0,-23.785,,,,,,,0.0,13.2056577130996,0.14
16,17,Run_P200_C142_L1430_clump40_17_S1,"""Moordyn_P200_C142_L1430_clump40_17.dat""",1.95616,12.138,44.34,-1614507062,-23.249,"""W:\TurbSim\workspace\15MW_fat_turbsimFiles\turbsim_increasedTI_redVel\wind_17_seed1.bts""",0 0 0,23.249,0.0,0.0,90.0,90.0,90.0,0.0,0.0,2.747711504311134,0.14
